,sents,tokens,token_count
21,"WHALE,               ICELANDIC.","['WHALE', ',', 'ICELANDIC', '.']",4
22,"WHALE,               ENGLISH.","['WHALE', ',', 'ENGLISH', '.']",4
23,"BALEINE,             FRENCH.","['BALEINE', ',', 'FRENCH', '.']",4
24,"BALLENA,             SPANISH.","['BALLENA', ',', 'SPANISH', '.']",4
25,"PEKEE-NUEE-NUEE,     FEGEE.","['PEKEE-NUEE-NUEE', ',', 'FEGEE', '.']",4
26,"PEKEE-NUEE-NUEE,     ERROMANGOAN.","['PEKEE-NUEE-NUEE', ',', 'ERROMANGOAN', '.']",4
27,EXTRACTS (Supplied by a Sub-Sub-Librarian).,"['EXTRACTS', '(', 'Supplied', 'by', 'a', 'Sub-Sub-Librarian', ')', '.']",8
28,"It will be seen that this mere painstaking burrower and grub-worm of
a poor devil of a Sub-Sub appears to have gone through the long
Vaticans and street-stalls of the earth, picking up whatever random
allusions to whales he could anyways find in any book whatsoever,
sacred or profane.","['It', 'will', 'be', 'seen', 'that', 'this', 'mere', 'painstaking', 'burrower', 'and', 'grub-worm', 'of', 'a', 'poor', 'devil', 'of', 'a', 'Sub-Sub', 'appears', 'to', 'have', 'gone', 'through', 'the', 'long', 'Vaticans', 'and', 'street-stalls', 'of', 'the', 'earth', ',', 'picking', 'up', 'whatever', 'random', 'allusions', 'to', 'whales', 'he', 'could', 'anyways', 'find', 'in', 'any', 'book', 'whatsoever', ',', 'sacred', 'or', 'profane', '.']",52
29,"Therefore you must not, in every case at least,
take the higgledy-piggledy whale statements, however authentic, in
these extracts, for veritable gospel cetology.","['Therefore', 'you', 'must', 'not', ',', 'in', 'every', 'case', 'at', 'least', ',', 'take', 'the', 'higgledy-piggledy', 'whale', 'statements', ',', 'however', 'authentic', ',', 'in', 'these', 'extracts', ',', 'for', 'veritable', 'gospel', 'cetology', '.']",29
30,Far from it.,"['Far', 'from', 'it', '.']",4
31,"As
touching the ancient authors generally, as well as the poets here
appearing, these extracts are solely valuable or entertaining, as
affording a glancing bird's eye view of what has been promiscuously
said, thought, fancied, and sung of Leviathan, by many nations and
generations, including our own.","['As', 'touching', 'the', 'ancient', 'authors', 'generally', ',', 'as', 'well', 'as', 'the', 'poets', 'here', 'appearing', ',', 'these', 'extracts', 'are', 'solely', 'valuable', 'or', 'entertaining', ',', 'as', 'affording', 'a', 'glancing', 'bird', ""'s"", 'eye', 'view', 'of', 'what', 'has', 'been', 'promiscuously', 'said', ',', 'thought', ',', 'fancied', ',', 'and', 'sung', 'of', 'Leviathan', ',', 'by', 'many', 'nations', 'and', 'generations', ',', 'including', 'our', 'own', '.']",57
32,"So fare thee well, poor devil of a Sub-Sub, whose commentator I am.","['So', 'fare', 'thee', 'well', ',', 'poor', 'devil', 'of', 'a', 'Sub-Sub', ',', 'whose', 'commentator', 'I', 'am', '.']",16
33,"Thou belongest to that hopeless, sallow tribe which no wine of this
world will ever warm; and for whom even Pale Sherry would be too
rosy-strong; but with whom one sometimes loves to sit, and feel
poor-devilish, too; and grow convivial upon tears; and say to them
bluntly, with full eyes and empty glasses, and in not altogether
unpleasant sadness--Give it up, Sub-Subs!","['Thou', 'belongest', 'to', 'that', 'hopeless', ',', 'sallow', 'tribe', 'which', 'no', 'wine', 'of', 'this', 'world', 'will', 'ever', 'warm', ';', 'and', 'for', 'whom', 'even', 'Pale', 'Sherry', 'would', 'be', 'too', 'rosy-strong', ';', 'but', 'with', 'whom', 'one', 'sometimes', 'loves', 'to', 'sit', ',', 'and', 'feel', 'poor-devilish', ',', 'too', ';', 'and', 'grow', 'convivial', 'upon', 'tears', ';', 'and', 'say', 'to', 'them', 'bluntly', ',', 'with', 'full', 'eyes', 'and', 'empty', 'glasses', ',', 'and', 'in', 'not', 'altogether', 'unpleasant', 'sadness', '--', 'Give', 'it', 'up', ',', 'Sub-Subs', '!']",76
34,"For by how much the more
pains ye take to please the world, by so much the more shall ye for
ever go thankless!","['For', 'by', 'how', 'much', 'the', 'more', 'pains', 'ye', 'take', 'to', 'please', 'the', 'world', ',', 'by', 'so', 'much', 'the', 'more', 'shall', 'ye', 'for', 'ever', 'go', 'thankless', '!']",26
35,"Would that I could clear out Hampton Court and
the Tuileries for ye!","['Would', 'that', 'I', 'could', 'clear', 'out', 'Hampton', 'Court', 'and', 'the', 'Tuileries', 'for', 'ye', '!']",14
36,"But gulp down your tears and hie aloft to the
royal-mast with your hearts; for your friends who have gone before
are clearing out the seven-storied heavens, and making refugees of
long-pampered Gabriel, Michael, and Raphael, against your coming.","['But', 'gulp', 'down', 'your', 'tears', 'and', 'hie', 'aloft', 'to', 'the', 'royal-mast', 'with', 'your', 'hearts', ';', 'for', 'your', 'friends', 'who', 'have', 'gone', 'before', 'are', 'clearing', 'out', 'the', 'seven-storied', 'heavens', ',', 'and', 'making', 'refugees', 'of', 'long-pampered', 'Gabriel', ',', 'Michael', ',', 'and', 'Raphael', ',', 'against', 'your', 'coming', '.']",45
37,"Here ye strike but splintered hearts together--there, ye shall strike
unsplinterable glasses!","['Here', 'ye', 'strike', 'but', 'splintered', 'hearts', 'together', '--', 'there', ',', 'ye', 'shall', 'strike', 'unsplinterable', 'glasses', '!']",16
38,EXTRACTS.,"['EXTRACTS', '.']",2
39,"""And God created great whales.""","['``', 'And', 'God', 'created', 'great', 'whales', '.', ""''""]",8
40,--GENESIS.,"['--', 'GENESIS', '.']",3
41,"""Leviathan maketh a path to shine after him; One would think the deep
to be hoary.""","['``', 'Leviathan', 'maketh', 'a', 'path', 'to', 'shine', 'after', 'him', ';', 'One', 'would', 'think', 'the', 'deep', 'to', 'be', 'hoary', '.', ""''""]",20
42,--JOB.,"['--', 'JOB', '.']",3
43,"""Now the Lord had prepared a great fish to swallow up Jonah.""","['``', 'Now', 'the', 'Lord', 'had', 'prepared', 'a', 'great', 'fish', 'to', 'swallow', 'up', 'Jonah', '.', ""''""]",15
44,--JONAH.,"['--', 'JONAH', '.']",3
45,"""There go the ships; there is that Leviathan whom thou hast made to
play therein.""","['``', 'There', 'go', 'the', 'ships', ';', 'there', 'is', 'that', 'Leviathan', 'whom', 'thou', 'hast', 'made', 'to', 'play', 'therein', '.', ""''""]",19
46,--PSALMS.,"['--', 'PSALMS', '.']",3
47,"""In that day, the Lord with his sore, and great, and strong sword,
shall punish Leviathan the piercing serpent, even Leviathan that
crooked serpent; and he shall slay the dragon that is in the sea.""","['``', 'In', 'that', 'day', ',', 'the', 'Lord', 'with', 'his', 'sore', ',', 'and', 'great', ',', 'and', 'strong', 'sword', ',', 'shall', 'punish', 'Leviathan', 'the', 'piercing', 'serpent', ',', 'even', 'Leviathan', 'that', 'crooked', 'serpent', ';', 'and', 'he', 'shall', 'slay', 'the', 'dragon', 'that', 'is', 'in', 'the', 'sea', '.', ""''""]",44
48,"--ISAIAH

""And what thing soever besides cometh within the chaos of this
monster's mouth, be it beast, boat, or stone, down it goes all
incontinently that foul great swallow of his, and perisheth in the
bottomless gulf of his paunch.""","['--', 'ISAIAH', ""''"", 'And', 'what', 'thing', 'soever', 'besides', 'cometh', 'within', 'the', 'chaos', 'of', 'this', 'monster', ""'s"", 'mouth', ',', 'be', 'it', 'beast', ',', 'boat', ',', 'or', 'stone', ',', 'down', 'it', 'goes', 'all', 'incontinently', 'that', 'foul', 'great', 'swallow', 'of', 'his', ',', 'and', 'perisheth', 'in', 'the', 'bottomless', 'gulf', 'of', 'his', 'paunch', '.', ""''""]",50
49,--HOLLAND'S PLUTARCH'S MORALS.,"['--', 'HOLLAND', ""'S"", 'PLUTARCH', ""'S"", 'MORALS', '.']",7
50,"""The Indian Sea breedeth the most and the biggest fishes that are:
among which the Whales and Whirlpooles called Balaene, take up as
much in length as four acres or arpens of land.""","['``', 'The', 'Indian', 'Sea', 'breedeth', 'the', 'most', 'and', 'the', 'biggest', 'fishes', 'that', 'are', ':', 'among', 'which', 'the', 'Whales', 'and', 'Whirlpooles', 'called', 'Balaene', ',', 'take', 'up', 'as', 'much', 'in', 'length', 'as', 'four', 'acres', 'or', 'arpens', 'of', 'land', '.', ""''""]",38
51,--HOLLAND'S PLINY.,"['--', 'HOLLAND', ""'S"", 'PLINY', '.']",5
52,"""Scarcely had we proceeded two days on the sea, when about sunrise a
great many Whales and other monsters of the sea, appeared.","['``', 'Scarcely', 'had', 'we', 'proceeded', 'two', 'days', 'on', 'the', 'sea', ',', 'when', 'about', 'sunrise', 'a', 'great', 'many', 'Whales', 'and', 'other', 'monsters', 'of', 'the', 'sea', ',', 'appeared', '.']",27
53,"Among the
former, one was of a most monstrous size.","['Among', 'the', 'former', ',', 'one', 'was', 'of', 'a', 'most', 'monstrous', 'size', '.']",12
54,...,['...'],1
55,"This came towards us,
open-mouthed, raising the waves on all sides, and beating the sea
before him into a foam.""","['This', 'came', 'towards', 'us', ',', 'open-mouthed', ',', 'raising', 'the', 'waves', 'on', 'all', 'sides', ',', 'and', 'beating', 'the', 'sea', 'before', 'him', 'into', 'a', 'foam', '.', ""''""]",25
56,--TOOKE'S LUCIAN.,"['--', 'TOOKE', ""'S"", 'LUCIAN', '.']",5
57,"""THE TRUE HISTORY.""","['``', 'THE', 'TRUE', 'HISTORY', '.', ""''""]",6
58,"""He visited this country also with a view of catching horse-whales,
which had bones of very great value for their teeth, of which he
brought some to the king.","['``', 'He', 'visited', 'this', 'country', 'also', 'with', 'a', 'view', 'of', 'catching', 'horse-whales', ',', 'which', 'had', 'bones', 'of', 'very', 'great', 'value', 'for', 'their', 'teeth', ',', 'of', 'which', 'he', 'brought', 'some', 'to', 'the', 'king', '.']",33
59,...,['...'],1
60,"The best whales were catched in his
own country, of which some were forty-eight, some fifty yards long.","['The', 'best', 'whales', 'were', 'catched', 'in', 'his', 'own', 'country', ',', 'of', 'which', 'some', 'were', 'forty-eight', ',', 'some', 'fifty', 'yards', 'long', '.']",21
61,"He said that he was one of six who had killed sixty in two days.""","['He', 'said', 'that', 'he', 'was', 'one', 'of', 'six', 'who', 'had', 'killed', 'sixty', 'in', 'two', 'days', '.', ""''""]",17
62,"--OTHER OR OCTHER'S VERBAL NARRATIVE TAKEN DOWN FROM HIS MOUTH BY
KING ALFRED, A.D. 890.","['--', 'OTHER', 'OR', 'OCTHER', ""'S"", 'VERBAL', 'NARRATIVE', 'TAKEN', 'DOWN', 'FROM', 'HIS', 'MOUTH', 'BY', 'KING', 'ALFRED', ',', 'A.D.', '890', '.']",19
63,"""And whereas all the other things, whether beast or vessel, that
enter into the dreadful gulf of this monster's (whale's) mouth, are
immediately lost and swallowed up, the sea-gudgeon retires into it in
great security, and there sleeps.""","['``', 'And', 'whereas', 'all', 'the', 'other', 'things', ',', 'whether', 'beast', 'or', 'vessel', ',', 'that', 'enter', 'into', 'the', 'dreadful', 'gulf', 'of', 'this', 'monster', ""'s"", '(', 'whale', ""'s"", ')', 'mouth', ',', 'are', 'immediately', 'lost', 'and', 'swallowed', 'up', ',', 'the', 'sea-gudgeon', 'retires', 'into', 'it', 'in', 'great', 'security', ',', 'and', 'there', 'sleeps', '.', ""''""]",50
64,--MONTAIGNE.,"['--', 'MONTAIGNE', '.']",3
65,"--APOLOGY FOR
RAIMOND SEBOND.","['--', 'APOLOGY', 'FOR', 'RAIMOND', 'SEBOND', '.']",6
66,"""Let us fly, let us fly!","['``', 'Let', 'us', 'fly', ',', 'let', 'us', 'fly', '!']",9
67,"Old Nick take me if is not Leviathan
described by the noble prophet Moses in the life of patient Job.""","['Old', 'Nick', 'take', 'me', 'if', 'is', 'not', 'Leviathan', 'described', 'by', 'the', 'noble', 'prophet', 'Moses', 'in', 'the', 'life', 'of', 'patient', 'Job', '.', ""''""]",22
68,--RABELAIS.,"['--', 'RABELAIS', '.']",3
69,"""This whale's liver was two cartloads.""","['``', 'This', 'whale', ""'s"", 'liver', 'was', 'two', 'cartloads', '.', ""''""]",10
70,--STOWE'S ANNALS.,"['--', 'STOWE', ""'S"", 'ANNALS', '.']",5
71,"""The great Leviathan that maketh the seas to seethe like boiling
pan.""","['``', 'The', 'great', 'Leviathan', 'that', 'maketh', 'the', 'seas', 'to', 'seethe', 'like', 'boiling', 'pan', '.', ""''""]",15
72,--LORD BACON'S VERSION OF THE PSALMS.,"['--', 'LORD', 'BACON', ""'S"", 'VERSION', 'OF', 'THE', 'PSALMS', '.']",9
73,"""Touching that monstrous bulk of the whale or ork we have received
nothing certain.","['``', 'Touching', 'that', 'monstrous', 'bulk', 'of', 'the', 'whale', 'or', 'ork', 'we', 'have', 'received', 'nothing', 'certain', '.']",16
74,"They grow exceeding fat, insomuch that an
incredible quantity of oil will be extracted out of one whale.""","['They', 'grow', 'exceeding', 'fat', ',', 'insomuch', 'that', 'an', 'incredible', 'quantity', 'of', 'oil', 'will', 'be', 'extracted', 'out', 'of', 'one', 'whale', '.', ""''""]",21
75,--IBID.,"['--', 'IBID', '.']",3
76,"""HISTORY OF LIFE AND DEATH.""","['``', 'HISTORY', 'OF', 'LIFE', 'AND', 'DEATH', '.', ""''""]",8
77,"""The sovereignest thing on earth is parmacetti for an inward bruise.""","['``', 'The', 'sovereignest', 'thing', 'on', 'earth', 'is', 'parmacetti', 'for', 'an', 'inward', 'bruise', '.', ""''""]",14
78,--KING HENRY.,"['--', 'KING', 'HENRY', '.']",4
79,"""Very like a whale.""","['``', 'Very', 'like', 'a', 'whale', '.', ""''""]",7
80,--HAMLET.,"['--', 'HAMLET', '.']",3
81,"""Which to secure, no skill of leach's art
Mote him availle, but to returne againe
To his wound's worker, that with lowly dart,
Dinting his breast, had bred his restless paine,
Like as the wounded whale to shore flies thro' the maine.""","['``', 'Which', 'to', 'secure', ',', 'no', 'skill', 'of', 'leach', ""'s"", 'art', 'Mote', 'him', 'availle', ',', 'but', 'to', 'returne', 'againe', 'To', 'his', 'wound', ""'s"", 'worker', ',', 'that', 'with', 'lowly', 'dart', ',', 'Dinting', 'his', 'breast', ',', 'had', 'bred', 'his', 'restless', 'paine', ',', 'Like', 'as', 'the', 'wounded', 'whale', 'to', 'shore', 'flies', 'thro', ""'"", 'the', 'maine', '.', ""''""]",54
82,--THE FAERIE QUEEN.,"['--', 'THE', 'FAERIE', 'QUEEN', '.']",5
83,"""Immense as whales, the motion of whose vast bodies can in a peaceful
calm trouble the ocean til it boil.""","['``', 'Immense', 'as', 'whales', ',', 'the', 'motion', 'of', 'whose', 'vast', 'bodies', 'can', 'in', 'a', 'peaceful', 'calm', 'trouble', 'the', 'ocean', 'til', 'it', 'boil', '.', ""''""]",24
84,--SIR WILLIAM DAVENANT.,"['--', 'SIR', 'WILLIAM', 'DAVENANT', '.']",5
85,"PREFACE
TO GONDIBERT.","['PREFACE', 'TO', 'GONDIBERT', '.']",4
86,"""What spermacetti is, men might justly doubt, since the learned
Hosmannus in his work of thirty years, saith plainly, Nescio quid
sit.""","['``', 'What', 'spermacetti', 'is', ',', 'men', 'might', 'justly', 'doubt', ',', 'since', 'the', 'learned', 'Hosmannus', 'in', 'his', 'work', 'of', 'thirty', 'years', ',', 'saith', 'plainly', ',', 'Nescio', 'quid', 'sit', '.', ""''""]",29
87,--SIR T. BROWNE.,"['--', 'SIR', 'T.', 'BROWNE', '.']",5
88,OF SPERMA CETI AND THE SPERMA CETI WHALE.,"['OF', 'SPERMA', 'CETI', 'AND', 'THE', 'SPERMA', 'CETI', 'WHALE', '.']",9
89,"VIDE HIS V. E.

""Like Spencer's Talus with his modern flail
He threatens ruin with his ponderous tail.","['VIDE', 'HIS', 'V.', 'E.', ""''"", 'Like', 'Spencer', ""'s"", 'Talus', 'with', 'his', 'modern', 'flail', 'He', 'threatens', 'ruin', 'with', 'his', 'ponderous', 'tail', '.']",21
90,"...
Their fixed jav'lins in his side he wears,
And on his back a grove of pikes appears.""","['...', 'Their', 'fixed', ""jav'lins"", 'in', 'his', 'side', 'he', 'wears', ',', 'And', 'on', 'his', 'back', 'a', 'grove', 'of', 'pikes', 'appears', '.', ""''""]",21
91,"--WALLER'S BATTLE OF THE
SUMMER ISLANDS.","['--', 'WALLER', ""'S"", 'BATTLE', 'OF', 'THE', 'SUMMER', 'ISLANDS', '.']",9
92,"""By art is created that great Leviathan, called a Commonwealth or
State--(in Latin, Civitas) which is but an artificial man.""","['``', 'By', 'art', 'is', 'created', 'that', 'great', 'Leviathan', ',', 'called', 'a', 'Commonwealth', 'or', 'State', '--', '(', 'in', 'Latin', ',', 'Civitas', ')', 'which', 'is', 'but', 'an', 'artificial', 'man', '.', ""''""]",29
93,"--OPENING
SENTENCE OF HOBBES'S LEVIATHAN.","['--', 'OPENING', 'SENTENCE', 'OF', 'HOBBES', ""'S"", 'LEVIATHAN', '.']",8
94,"""Silly Mansoul swallowed it without chewing, as if it had been a
sprat in the mouth of a whale.""","['``', 'Silly', 'Mansoul', 'swallowed', 'it', 'without', 'chewing', ',', 'as', 'if', 'it', 'had', 'been', 'a', 'sprat', 'in', 'the', 'mouth', 'of', 'a', 'whale', '.', ""''""]",23
95,--PILGRIM'S PROGRESS.,"['--', 'PILGRIM', ""'S"", 'PROGRESS', '.']",5
96,"""That sea beast
Leviathan, which God of all his works
Created hugest that swim the ocean stream.""","['``', 'That', 'sea', 'beast', 'Leviathan', ',', 'which', 'God', 'of', 'all', 'his', 'works', 'Created', 'hugest', 'that', 'swim', 'the', 'ocean', 'stream', '.', ""''""]",21
97,--PARADISE LOST.,"['--', 'PARADISE', 'LOST', '.']",4
98,"---""There Leviathan,
Hugest of living creatures, in the deep
Stretched like a promontory sleeps or swims,
And seems a moving land; and at his gills
Draws in, and at his breath spouts out a sea.""","['--', '-', ""''"", 'There', 'Leviathan', ',', 'Hugest', 'of', 'living', 'creatures', ',', 'in', 'the', 'deep', 'Stretched', 'like', 'a', 'promontory', 'sleeps', 'or', 'swims', ',', 'And', 'seems', 'a', 'moving', 'land', ';', 'and', 'at', 'his', 'gills', 'Draws', 'in', ',', 'and', 'at', 'his', 'breath', 'spouts', 'out', 'a', 'sea', '.', ""''""]",45
99,--IBID.,"['--', 'IBID', '.']",3
100,"""The mighty whales which swim in a sea of water, and have a sea of
oil swimming in them.""","['``', 'The', 'mighty', 'whales', 'which', 'swim', 'in', 'a', 'sea', 'of', 'water', ',', 'and', 'have', 'a', 'sea', 'of', 'oil', 'swimming', 'in', 'them', '.', ""''""]",23
101,--FULLLER'S PROFANE AND HOLY STATE.,"['--', 'FULLLER', ""'S"", 'PROFANE', 'AND', 'HOLY', 'STATE', '.']",8
102,"""So close behind some promontory lie
The huge Leviathan to attend their prey,
And give no chance, but swallow in the fry,
Which through their gaping jaws mistake the way.""","['``', 'So', 'close', 'behind', 'some', 'promontory', 'lie', 'The', 'huge', 'Leviathan', 'to', 'attend', 'their', 'prey', ',', 'And', 'give', 'no', 'chance', ',', 'but', 'swallow', 'in', 'the', 'fry', ',', 'Which', 'through', 'their', 'gaping', 'jaws', 'mistake', 'the', 'way', '.', ""''""]",36
103,--DRYDEN'S ANNUS MIRABILIS.,"['--', 'DRYDEN', ""'S"", 'ANNUS', 'MIRABILIS', '.']",6
104,"""While the whale is floating at the stern of the ship, they cut off
his head, and tow it with a boat as near the shore as it will come;
but it will be aground in twelve or thirteen feet water.""","['``', 'While', 'the', 'whale', 'is', 'floating', 'at', 'the', 'stern', 'of', 'the', 'ship', ',', 'they', 'cut', 'off', 'his', 'head', ',', 'and', 'tow', 'it', 'with', 'a', 'boat', 'as', 'near', 'the', 'shore', 'as', 'it', 'will', 'come', ';', 'but', 'it', 'will', 'be', 'aground', 'in', 'twelve', 'or', 'thirteen', 'feet', 'water', '.', ""''""]",47
105,"--THOMAS
EDGE'S TEN VOYAGES TO SPITZBERGEN, IN PURCHAS.","['--', 'THOMAS', 'EDGE', ""'S"", 'TEN', 'VOYAGES', 'TO', 'SPITZBERGEN', ',', 'IN', 'PURCHAS', '.']",12
106,"""In their way they saw many whales sporting in the ocean, and in
wantonness fuzzing up the water through their pipes and vents, which
nature has placed on their shoulders.""","['``', 'In', 'their', 'way', 'they', 'saw', 'many', 'whales', 'sporting', 'in', 'the', 'ocean', ',', 'and', 'in', 'wantonness', 'fuzzing', 'up', 'the', 'water', 'through', 'their', 'pipes', 'and', 'vents', ',', 'which', 'nature', 'has', 'placed', 'on', 'their', 'shoulders', '.', ""''""]",35
107,"--SIR T. HERBERT'S VOYAGES
INTO ASIA AND AFRICA.","['--', 'SIR', 'T.', 'HERBERT', ""'S"", 'VOYAGES', 'INTO', 'ASIA', 'AND', 'AFRICA', '.']",11
108,HARRIS COLL.,"['HARRIS', 'COLL', '.']",3
109,"""Here they saw such huge troops of whales, that they were forced to
proceed with a great deal of caution for fear they should run their
ship upon them.""","['``', 'Here', 'they', 'saw', 'such', 'huge', 'troops', 'of', 'whales', ',', 'that', 'they', 'were', 'forced', 'to', 'proceed', 'with', 'a', 'great', 'deal', 'of', 'caution', 'for', 'fear', 'they', 'should', 'run', 'their', 'ship', 'upon', 'them', '.', ""''""]",33
110,--SCHOUTEN'S SIXTH CIRCUMNAVIGATION.,"['--', 'SCHOUTEN', ""'S"", 'SIXTH', 'CIRCUMNAVIGATION', '.']",6
111,"""We set sail from the Elbe, wind N.E.","['``', 'We', 'set', 'sail', 'from', 'the', 'Elbe', ',', 'wind', 'N.E', '.']",11
112,"in the ship called The
Jonas-in-the-Whale.","['in', 'the', 'ship', 'called', 'The', 'Jonas-in-the-Whale', '.']",7
113,...,['...'],1
114,"Some say the whale can't open his mouth, but
that is a fable.","['Some', 'say', 'the', 'whale', 'ca', ""n't"", 'open', 'his', 'mouth', ',', 'but', 'that', 'is', 'a', 'fable', '.']",16
115,...,['...'],1
116,"They frequently climb up the masts to see
whether they can see a whale, for the first discoverer has a ducat
for his pains.","['They', 'frequently', 'climb', 'up', 'the', 'masts', 'to', 'see', 'whether', 'they', 'can', 'see', 'a', 'whale', ',', 'for', 'the', 'first', 'discoverer', 'has', 'a', 'ducat', 'for', 'his', 'pains', '.']",26
117,...,['...'],1
118,"I was told of a whale taken near Shetland, that
had above a barrel of herrings in his belly.","['I', 'was', 'told', 'of', 'a', 'whale', 'taken', 'near', 'Shetland', ',', 'that', 'had', 'above', 'a', 'barrel', 'of', 'herrings', 'in', 'his', 'belly', '.']",21
119,"...  One of our
harpooneers told me that he caught once a whale in Spitzbergen that
was white all over.""","['...', 'One', 'of', 'our', 'harpooneers', 'told', 'me', 'that', 'he', 'caught', 'once', 'a', 'whale', 'in', 'Spitzbergen', 'that', 'was', 'white', 'all', 'over', '.', ""''""]",22
120,"--A VOYAGE TO GREENLAND, A.D. 1671 HARRIS COLL.","['--', 'A', 'VOYAGE', 'TO', 'GREENLAND', ',', 'A.D.', '1671', 'HARRIS', 'COLL', '.']",11
121,"""Several whales have come in upon this coast (Fife) Anno 1652, one
eighty feet in length of the whale-bone kind came in, which (as I was
informed), besides a vast quantity of oil, did afford 500 weight of
baleen.","['``', 'Several', 'whales', 'have', 'come', 'in', 'upon', 'this', 'coast', '(', 'Fife', ')', 'Anno', '1652', ',', 'one', 'eighty', 'feet', 'in', 'length', 'of', 'the', 'whale-bone', 'kind', 'came', 'in', ',', 'which', '(', 'as', 'I', 'was', 'informed', ')', ',', 'besides', 'a', 'vast', 'quantity', 'of', 'oil', ',', 'did', 'afford', '500', 'weight', 'of', 'baleen', '.']",49
122,"The jaws of it stand for a gate in the garden of Pitferren.""","['The', 'jaws', 'of', 'it', 'stand', 'for', 'a', 'gate', 'in', 'the', 'garden', 'of', 'Pitferren', '.', ""''""]",15
123,--SIBBALD'S FIFE AND KINROSS.,"['--', 'SIBBALD', ""'S"", 'FIFE', 'AND', 'KINROSS', '.']",7
124,"""Myself have agreed to try whether I can master and kill this
Sperma-ceti whale, for I could never hear of any of that sort that
was killed by any man, such is his fierceness and swiftness.""","['``', 'Myself', 'have', 'agreed', 'to', 'try', 'whether', 'I', 'can', 'master', 'and', 'kill', 'this', 'Sperma-ceti', 'whale', ',', 'for', 'I', 'could', 'never', 'hear', 'of', 'any', 'of', 'that', 'sort', 'that', 'was', 'killed', 'by', 'any', 'man', ',', 'such', 'is', 'his', 'fierceness', 'and', 'swiftness', '.', ""''""]",41
125,--RICHARD STRAFFORD'S LETTER FROM THE BERMUDAS.,"['--', 'RICHARD', 'STRAFFORD', ""'S"", 'LETTER', 'FROM', 'THE', 'BERMUDAS', '.']",9
