,sents,tokens,token_count
69,"Here ye strike but splintered hearts together--there, ye shall strike","['Here', 'ye', 'strike', 'but', 'splintered', 'hearts', 'together', '--', 'there', ',', 'ye', 'shall', 'strike']",13
70,unsplinterable glasses!,"['unsplinterable', 'glasses', '!']",3
71,,[],0
72,,[],0
73,EXTRACTS.,"['EXTRACTS', '.']",2
74,,[],0
75,"""And God created great whales."" --GENESIS.","['``', 'And', 'God', 'created', 'great', 'whales', '.', ""''"", '--', 'GENESIS', '.']",11
76,,[],0
77,"""Leviathan maketh a path to shine after him; One would think the deep","['``', 'Leviathan', 'maketh', 'a', 'path', 'to', 'shine', 'after', 'him', ';', 'One', 'would', 'think', 'the', 'deep']",15
78,"to be hoary."" --JOB.","['to', 'be', 'hoary', '.', ""''"", '--', 'JOB', '.']",8
79,,[],0
80,"""Now the Lord had prepared a great fish to swallow up Jonah.""","['``', 'Now', 'the', 'Lord', 'had', 'prepared', 'a', 'great', 'fish', 'to', 'swallow', 'up', 'Jonah', '.', ""''""]",15
81,--JONAH.,"['--', 'JONAH', '.']",3
82,,[],0
83,"""There go the ships; there is that Leviathan whom thou hast made to","['``', 'There', 'go', 'the', 'ships', ';', 'there', 'is', 'that', 'Leviathan', 'whom', 'thou', 'hast', 'made', 'to']",15
84,"play therein."" --PSALMS.","['play', 'therein', '.', ""''"", '--', 'PSALMS', '.']",7
85,,[],0
86,"""In that day, the Lord with his sore, and great, and strong sword,","['``', 'In', 'that', 'day', ',', 'the', 'Lord', 'with', 'his', 'sore', ',', 'and', 'great', ',', 'and', 'strong', 'sword', ',']",18
87,"shall punish Leviathan the piercing serpent, even Leviathan that","['shall', 'punish', 'Leviathan', 'the', 'piercing', 'serpent', ',', 'even', 'Leviathan', 'that']",10
88,"crooked serpent; and he shall slay the dragon that is in the sea.""","['crooked', 'serpent', ';', 'and', 'he', 'shall', 'slay', 'the', 'dragon', 'that', 'is', 'in', 'the', 'sea', '.', ""''""]",16
89,--ISAIAH,"['--', 'ISAIAH']",2
90,,[],0
91,"""And what thing soever besides cometh within the chaos of this","['``', 'And', 'what', 'thing', 'soever', 'besides', 'cometh', 'within', 'the', 'chaos', 'of', 'this']",12
92,"monster's mouth, be it beast, boat, or stone, down it goes all","['monster', ""'s"", 'mouth', ',', 'be', 'it', 'beast', ',', 'boat', ',', 'or', 'stone', ',', 'down', 'it', 'goes', 'all']",17
93,"incontinently that foul great swallow of his, and perisheth in the","['incontinently', 'that', 'foul', 'great', 'swallow', 'of', 'his', ',', 'and', 'perisheth', 'in', 'the']",12
94,"bottomless gulf of his paunch."" --HOLLAND'S PLUTARCH'S MORALS.","['bottomless', 'gulf', 'of', 'his', 'paunch', '.', ""''"", '--', 'HOLLAND', ""'S"", 'PLUTARCH', ""'S"", 'MORALS', '.']",14
95,,[],0
96,"""The Indian Sea breedeth the most and the biggest fishes that are:","['``', 'The', 'Indian', 'Sea', 'breedeth', 'the', 'most', 'and', 'the', 'biggest', 'fishes', 'that', 'are', ':']",14
97,"among which the Whales and Whirlpooles called Balaene, take up as","['among', 'which', 'the', 'Whales', 'and', 'Whirlpooles', 'called', 'Balaene', ',', 'take', 'up', 'as']",12
98,"much in length as four acres or arpens of land."" --HOLLAND'S PLINY.","['much', 'in', 'length', 'as', 'four', 'acres', 'or', 'arpens', 'of', 'land', '.', ""''"", '--', 'HOLLAND', ""'S"", 'PLINY', '.']",17
99,,[],0
100,"""Scarcely had we proceeded two days on the sea, when about sunrise a","['``', 'Scarcely', 'had', 'we', 'proceeded', 'two', 'days', 'on', 'the', 'sea', ',', 'when', 'about', 'sunrise', 'a']",15
101,"great many Whales and other monsters of the sea, appeared.  Among the","['great', 'many', 'Whales', 'and', 'other', 'monsters', 'of', 'the', 'sea', ',', 'appeared', '.', 'Among', 'the']",14
102,"former, one was of a most monstrous size. ...  This came towards us,","['former', ',', 'one', 'was', 'of', 'a', 'most', 'monstrous', 'size', '.', '...', 'This', 'came', 'towards', 'us', ',']",16
103,"open-mouthed, raising the waves on all sides, and beating the sea","['open-mouthed', ',', 'raising', 'the', 'waves', 'on', 'all', 'sides', ',', 'and', 'beating', 'the', 'sea']",13
104,"before him into a foam."" --TOOKE'S LUCIAN.  ""THE TRUE HISTORY.""","['before', 'him', 'into', 'a', 'foam', '.', ""''"", '--', 'TOOKE', ""'S"", 'LUCIAN', '.', '``', 'THE', 'TRUE', 'HISTORY', '.', ""''""]",18
105,,[],0
106,"""He visited this country also with a view of catching horse-whales,","['``', 'He', 'visited', 'this', 'country', 'also', 'with', 'a', 'view', 'of', 'catching', 'horse-whales', ',']",13
107,"which had bones of very great value for their teeth, of which he","['which', 'had', 'bones', 'of', 'very', 'great', 'value', 'for', 'their', 'teeth', ',', 'of', 'which', 'he']",14
108,brought some to the king. ...  The best whales were catched in his,"['brought', 'some', 'to', 'the', 'king', '.', '...', 'The', 'best', 'whales', 'were', 'catched', 'in', 'his']",14
109,"own country, of which some were forty-eight, some fifty yards long.","['own', 'country', ',', 'of', 'which', 'some', 'were', 'forty-eight', ',', 'some', 'fifty', 'yards', 'long', '.']",14
110,"He said that he was one of six who had killed sixty in two days.""","['He', 'said', 'that', 'he', 'was', 'one', 'of', 'six', 'who', 'had', 'killed', 'sixty', 'in', 'two', 'days', '.', ""''""]",17
111,--OTHER OR OCTHER'S VERBAL NARRATIVE TAKEN DOWN FROM HIS MOUTH BY,"['--', 'OTHER', 'OR', 'OCTHER', ""'S"", 'VERBAL', 'NARRATIVE', 'TAKEN', 'DOWN', 'FROM', 'HIS', 'MOUTH', 'BY']",13
112,"KING ALFRED, A.D. 890.","['KING', 'ALFRED', ',', 'A.D.', '890', '.']",6
113,,[],0
114,"""And whereas all the other things, whether beast or vessel, that","['``', 'And', 'whereas', 'all', 'the', 'other', 'things', ',', 'whether', 'beast', 'or', 'vessel', ',', 'that']",14
115,"enter into the dreadful gulf of this monster's (whale's) mouth, are","['enter', 'into', 'the', 'dreadful', 'gulf', 'of', 'this', 'monster', ""'s"", '(', 'whale', ""'s"", ')', 'mouth', ',', 'are']",16
116,"immediately lost and swallowed up, the sea-gudgeon retires into it in","['immediately', 'lost', 'and', 'swallowed', 'up', ',', 'the', 'sea-gudgeon', 'retires', 'into', 'it', 'in']",12
117,"great security, and there sleeps."" --MONTAIGNE.  --APOLOGY FOR","['great', 'security', ',', 'and', 'there', 'sleeps', '.', ""''"", '--', 'MONTAIGNE', '.', '--', 'APOLOGY', 'FOR']",14
118,RAIMOND SEBOND.,"['RAIMOND', 'SEBOND', '.']",3
119,,[],0
120,"""Let us fly, let us fly!  Old Nick take me if is not Leviathan","['``', 'Let', 'us', 'fly', ',', 'let', 'us', 'fly', '!', 'Old', 'Nick', 'take', 'me', 'if', 'is', 'not', 'Leviathan']",17
121,"described by the noble prophet Moses in the life of patient Job.""","['described', 'by', 'the', 'noble', 'prophet', 'Moses', 'in', 'the', 'life', 'of', 'patient', 'Job', '.', ""''""]",14
122,--RABELAIS.,"['--', 'RABELAIS', '.']",3
123,,[],0
124,"""This whale's liver was two cartloads."" --STOWE'S ANNALS.","['``', 'This', 'whale', ""'s"", 'liver', 'was', 'two', 'cartloads', '.', ""''"", '--', 'STOWE', ""'S"", 'ANNALS', '.']",15
125,,[],0
126,"""The great Leviathan that maketh the seas to seethe like boiling","['``', 'The', 'great', 'Leviathan', 'that', 'maketh', 'the', 'seas', 'to', 'seethe', 'like', 'boiling']",12
127,"pan."" --LORD BACON'S VERSION OF THE PSALMS.","['pan', '.', ""''"", '--', 'LORD', 'BACON', ""'S"", 'VERSION', 'OF', 'THE', 'PSALMS', '.']",12
128,,[],0
129,"""Touching that monstrous bulk of the whale or ork we have received","['``', 'Touching', 'that', 'monstrous', 'bulk', 'of', 'the', 'whale', 'or', 'ork', 'we', 'have', 'received']",13
130,"nothing certain.  They grow exceeding fat, insomuch that an","['nothing', 'certain', '.', 'They', 'grow', 'exceeding', 'fat', ',', 'insomuch', 'that', 'an']",11
131,"incredible quantity of oil will be extracted out of one whale.""","['incredible', 'quantity', 'of', 'oil', 'will', 'be', 'extracted', 'out', 'of', 'one', 'whale', '.', ""''""]",13
132,"--IBID.  ""HISTORY OF LIFE AND DEATH.""","['--', 'IBID', '.', '``', 'HISTORY', 'OF', 'LIFE', 'AND', 'DEATH', '.', ""''""]",11
133,,[],0
134,"""The sovereignest thing on earth is parmacetti for an inward bruise.""","['``', 'The', 'sovereignest', 'thing', 'on', 'earth', 'is', 'parmacetti', 'for', 'an', 'inward', 'bruise', '.', ""''""]",14
135,--KING HENRY.,"['--', 'KING', 'HENRY', '.']",4
136,,[],0
137,"""Very like a whale."" --HAMLET.","['``', 'Very', 'like', 'a', 'whale', '.', ""''"", '--', 'HAMLET', '.']",10
138,,[],0
139,"""Which to secure, no skill of leach's art","['``', 'Which', 'to', 'secure', ',', 'no', 'skill', 'of', 'leach', ""'s"", 'art']",11
140,"Mote him availle, but to returne againe","['Mote', 'him', 'availle', ',', 'but', 'to', 'returne', 'againe']",8
141,"To his wound's worker, that with lowly dart,","['To', 'his', 'wound', ""'s"", 'worker', ',', 'that', 'with', 'lowly', 'dart', ',']",11
142,"Dinting his breast, had bred his restless paine,","['Dinting', 'his', 'breast', ',', 'had', 'bred', 'his', 'restless', 'paine', ',']",10
143,"Like as the wounded whale to shore flies thro' the maine.""","['Like', 'as', 'the', 'wounded', 'whale', 'to', 'shore', 'flies', 'thro', ""'"", 'the', 'maine', '.', ""''""]",14
144,--THE FAERIE QUEEN.,"['--', 'THE', 'FAERIE', 'QUEEN', '.']",5
145,,[],0
146,"""Immense as whales, the motion of whose vast bodies can in a peaceful","['``', 'Immense', 'as', 'whales', ',', 'the', 'motion', 'of', 'whose', 'vast', 'bodies', 'can', 'in', 'a', 'peaceful']",15
147,"calm trouble the ocean til it boil."" --SIR WILLIAM DAVENANT.  PREFACE","['calm', 'trouble', 'the', 'ocean', 'til', 'it', 'boil', '.', ""''"", '--', 'SIR', 'WILLIAM', 'DAVENANT', '.', 'PREFACE']",15
148,TO GONDIBERT.,"['TO', 'GONDIBERT', '.']",3
149,,[],0
150,"""What spermacetti is, men might justly doubt, since the learned","['``', 'What', 'spermacetti', 'is', ',', 'men', 'might', 'justly', 'doubt', ',', 'since', 'the', 'learned']",13
151,"Hosmannus in his work of thirty years, saith plainly, Nescio quid","['Hosmannus', 'in', 'his', 'work', 'of', 'thirty', 'years', ',', 'saith', 'plainly', ',', 'Nescio', 'quid']",13
152,"sit."" --SIR T. BROWNE.  OF SPERMA CETI AND THE SPERMA CETI WHALE.","['sit', '.', ""''"", '--', 'SIR', 'T.', 'BROWNE', '.', 'OF', 'SPERMA', 'CETI', 'AND', 'THE', 'SPERMA', 'CETI', 'WHALE', '.']",17
153,VIDE HIS V. E.,"['VIDE', 'HIS', 'V.', 'E', '.']",5
154,,[],0
155,"""Like Spencer's Talus with his modern flail","['``', 'Like', 'Spencer', ""'s"", 'Talus', 'with', 'his', 'modern', 'flail']",9
156,He threatens ruin with his ponderous tail.,"['He', 'threatens', 'ruin', 'with', 'his', 'ponderous', 'tail', '.']",8
157,...,['...'],1
158,"Their fixed jav'lins in his side he wears,","['Their', 'fixed', ""jav'lins"", 'in', 'his', 'side', 'he', 'wears', ',']",9
159,"And on his back a grove of pikes appears."" --WALLER'S BATTLE OF THE","['And', 'on', 'his', 'back', 'a', 'grove', 'of', 'pikes', 'appears', '.', ""''"", '--', 'WALLER', ""'S"", 'BATTLE', 'OF', 'THE']",17
160,SUMMER ISLANDS.,"['SUMMER', 'ISLANDS', '.']",3
161,,[],0
162,"""By art is created that great Leviathan, called a Commonwealth or","['``', 'By', 'art', 'is', 'created', 'that', 'great', 'Leviathan', ',', 'called', 'a', 'Commonwealth', 'or']",13
163,"State--(in Latin, Civitas) which is but an artificial man."" --OPENING","['State', '--', '(', 'in', 'Latin', ',', 'Civitas', ')', 'which', 'is', 'but', 'an', 'artificial', 'man', '.', ""''"", '--', 'OPENING']",18
164,SENTENCE OF HOBBES'S LEVIATHAN.,"['SENTENCE', 'OF', 'HOBBES', ""'S"", 'LEVIATHAN', '.']",6
165,,[],0
166,"""Silly Mansoul swallowed it without chewing, as if it had been a","['``', 'Silly', 'Mansoul', 'swallowed', 'it', 'without', 'chewing', ',', 'as', 'if', 'it', 'had', 'been', 'a']",14
167,"sprat in the mouth of a whale."" --PILGRIM'S PROGRESS.","['sprat', 'in', 'the', 'mouth', 'of', 'a', 'whale', '.', ""''"", '--', 'PILGRIM', ""'S"", 'PROGRESS', '.']",14
168,,[],0
169,"""That sea beast","['``', 'That', 'sea', 'beast']",4
170,"Leviathan, which God of all his works","['Leviathan', ',', 'which', 'God', 'of', 'all', 'his', 'works']",8
171,"Created hugest that swim the ocean stream."" --PARADISE LOST.","['Created', 'hugest', 'that', 'swim', 'the', 'ocean', 'stream', '.', ""''"", '--', 'PARADISE', 'LOST', '.']",13
172,,[],0
173,"---""There Leviathan,","['--', '-', ""''"", 'There', 'Leviathan', ',']",6
174,"Hugest of living creatures, in the deep","['Hugest', 'of', 'living', 'creatures', ',', 'in', 'the', 'deep']",8
175,"Stretched like a promontory sleeps or swims,","['Stretched', 'like', 'a', 'promontory', 'sleeps', 'or', 'swims', ',']",8
176,And seems a moving land; and at his gills,"['And', 'seems', 'a', 'moving', 'land', ';', 'and', 'at', 'his', 'gills']",10
177,"Draws in, and at his breath spouts out a sea."" --IBID.","['Draws', 'in', ',', 'and', 'at', 'his', 'breath', 'spouts', 'out', 'a', 'sea', '.', ""''"", '--', 'IBID', '.']",16
178,,[],0
179,"""The mighty whales which swim in a sea of water, and have a sea of","['``', 'The', 'mighty', 'whales', 'which', 'swim', 'in', 'a', 'sea', 'of', 'water', ',', 'and', 'have', 'a', 'sea', 'of']",17
180,"oil swimming in them."" --FULLLER'S PROFANE AND HOLY STATE.","['oil', 'swimming', 'in', 'them', '.', ""''"", '--', 'FULLLER', ""'S"", 'PROFANE', 'AND', 'HOLY', 'STATE', '.']",14
181,,[],0
182,"""So close behind some promontory lie","['``', 'So', 'close', 'behind', 'some', 'promontory', 'lie']",7
183,"The huge Leviathan to attend their prey,","['The', 'huge', 'Leviathan', 'to', 'attend', 'their', 'prey', ',']",8
184,"And give no chance, but swallow in the fry,","['And', 'give', 'no', 'chance', ',', 'but', 'swallow', 'in', 'the', 'fry', ',']",11
185,"Which through their gaping jaws mistake the way.""","['Which', 'through', 'their', 'gaping', 'jaws', 'mistake', 'the', 'way', '.', ""''""]",10
186,--DRYDEN'S ANNUS MIRABILIS.,"['--', 'DRYDEN', ""'S"", 'ANNUS', 'MIRABILIS', '.']",6
187,,[],0
188,"""While the whale is floating at the stern of the ship, they cut off","['``', 'While', 'the', 'whale', 'is', 'floating', 'at', 'the', 'stern', 'of', 'the', 'ship', ',', 'they', 'cut', 'off']",16
189,"his head, and tow it with a boat as near the shore as it will come;","['his', 'head', ',', 'and', 'tow', 'it', 'with', 'a', 'boat', 'as', 'near', 'the', 'shore', 'as', 'it', 'will', 'come', ';']",18
190,"but it will be aground in twelve or thirteen feet water."" --THOMAS","['but', 'it', 'will', 'be', 'aground', 'in', 'twelve', 'or', 'thirteen', 'feet', 'water', '.', ""''"", '--', 'THOMAS']",15
191,"EDGE'S TEN VOYAGES TO SPITZBERGEN, IN PURCHAS.","['EDGE', ""'S"", 'TEN', 'VOYAGES', 'TO', 'SPITZBERGEN', ',', 'IN', 'PURCHAS', '.']",10
192,,[],0
193,"""In their way they saw many whales sporting in the ocean, and in","['``', 'In', 'their', 'way', 'they', 'saw', 'many', 'whales', 'sporting', 'in', 'the', 'ocean', ',', 'and', 'in']",15
194,"wantonness fuzzing up the water through their pipes and vents, which","['wantonness', 'fuzzing', 'up', 'the', 'water', 'through', 'their', 'pipes', 'and', 'vents', ',', 'which']",12
195,"nature has placed on their shoulders."" --SIR T. HERBERT'S VOYAGES","['nature', 'has', 'placed', 'on', 'their', 'shoulders', '.', ""''"", '--', 'SIR', 'T.', 'HERBERT', ""'S"", 'VOYAGES']",14
196,INTO ASIA AND AFRICA.  HARRIS COLL.,"['INTO', 'ASIA', 'AND', 'AFRICA', '.', 'HARRIS', 'COLL', '.']",8
197,,[],0
198,"""Here they saw such huge troops of whales, that they were forced to","['``', 'Here', 'they', 'saw', 'such', 'huge', 'troops', 'of', 'whales', ',', 'that', 'they', 'were', 'forced', 'to']",15
199,proceed with a great deal of caution for fear they should run their,"['proceed', 'with', 'a', 'great', 'deal', 'of', 'caution', 'for', 'fear', 'they', 'should', 'run', 'their']",13
200,"ship upon them."" --SCHOUTEN'S SIXTH CIRCUMNAVIGATION.","['ship', 'upon', 'them', '.', ""''"", '--', 'SCHOUTEN', ""'S"", 'SIXTH', 'CIRCUMNAVIGATION', '.']",11
201,,[],0
202,"""We set sail from the Elbe, wind N.E. in the ship called The","['``', 'We', 'set', 'sail', 'from', 'the', 'Elbe', ',', 'wind', 'N.E', '.', 'in', 'the', 'ship', 'called', 'The']",16
203,"Jonas-in-the-Whale. ...  Some say the whale can't open his mouth, but","['Jonas-in-the-Whale', '.', '...', 'Some', 'say', 'the', 'whale', 'ca', ""n't"", 'open', 'his', 'mouth', ',', 'but']",14
204,that is a fable. ...  They frequently climb up the masts to see,"['that', 'is', 'a', 'fable', '.', '...', 'They', 'frequently', 'climb', 'up', 'the', 'masts', 'to', 'see']",14
205,"whether they can see a whale, for the first discoverer has a ducat","['whether', 'they', 'can', 'see', 'a', 'whale', ',', 'for', 'the', 'first', 'discoverer', 'has', 'a', 'ducat']",14
206,"for his pains. ...  I was told of a whale taken near Shetland, that","['for', 'his', 'pains', '.', '...', 'I', 'was', 'told', 'of', 'a', 'whale', 'taken', 'near', 'Shetland', ',', 'that']",16
207,had above a barrel of herrings in his belly. ...  One of our,"['had', 'above', 'a', 'barrel', 'of', 'herrings', 'in', 'his', 'belly', '.', '...', 'One', 'of', 'our']",14
208,harpooneers told me that he caught once a whale in Spitzbergen that,"['harpooneers', 'told', 'me', 'that', 'he', 'caught', 'once', 'a', 'whale', 'in', 'Spitzbergen', 'that']",12
209,"was white all over."" --A VOYAGE TO GREENLAND, A.D. 1671 HARRIS COLL.","['was', 'white', 'all', 'over', '.', ""''"", '--', 'A', 'VOYAGE', 'TO', 'GREENLAND', ',', 'A.D.', '1671', 'HARRIS', 'COLL', '.']",17
210,,[],0
211,"""Several whales have come in upon this coast (Fife) Anno 1652, one","['``', 'Several', 'whales', 'have', 'come', 'in', 'upon', 'this', 'coast', '(', 'Fife', ')', 'Anno', '1652', ',', 'one']",16
212,"eighty feet in length of the whale-bone kind came in, which (as I was","['eighty', 'feet', 'in', 'length', 'of', 'the', 'whale-bone', 'kind', 'came', 'in', ',', 'which', '(', 'as', 'I', 'was']",16
213,"informed), besides a vast quantity of oil, did afford 500 weight of","['informed', ')', ',', 'besides', 'a', 'vast', 'quantity', 'of', 'oil', ',', 'did', 'afford', '500', 'weight', 'of']",15
